Date,act1_price,act2_price,act3_price,act4_price,act5_price
07/07/2016,17895.88086,4876.810059,1149.76001,14.76,90.473869
08/07/2016,18146.74023,4956.759766,1177.359985,13.2,91.171707
11/07/2016,18226.92969,4988.640137,1190.030029,13.54,91.454613
12/07/2016,18347.66992,5022.819824,1205.890015,13.55,91.869545
13/07/2016,18372.11914,5005.72998,1201.160034,13.04,91.350861
14/07/2016,18506.41016,5034.060059,1202.170044,12.82,93.161491
15/07/2016,18516.55078,5029.589844,1205.310059,12.67,93.152061
18/07/2016,18533.05078,5055.779785,1207.910034,12.44,94.142235
19/07/2016,18559.00977,5036.370117,1200.449951,11.97,94.179955
20/07/2016,18595.0293,5089.930176,1209.73999,11.77,94.264832
21/07/2016,18517.23047,5073.899902,1203.859985,12.74,93.76503
22/07/2016,18570.84961,5100.160156,1212.890015,12.02,93.038895
25/07/2016,18493.06055,5097.629883,1209.819946,12.87,91.794083
26/07/2016,18473.75,5110.049805,1216.859985,13.05,91.16227
27/07/2016,18472.16992,5139.810059,1218.930054,12.83,97.084442
28/07/2016,18456.34961,5154.97998,1217.329956,12.72,98.395256
29/07/2016,18432.24023,5162.129883,1219.939941,11.87,98.272682
01/08/2016,18404.50977,5184.200195,1219.119995,12.44,100.007835
02/08/2016,18313.76953,5137.72998,1202.349976,13.37,98.527306
03/08/2016,18355,5159.740234,1212.72998,12.86,99.762665
04/08/2016,18352.05078,5166.25,1213.76001,12.42,100.378944
05/08/2016,18543.5293,5221.120117,1231.300049,11.39,101.905434
08/08/2016,18529.28906,5213.140137,1230.420044,11.5,102.749283
09/08/2016,18533.05078,5225.47998,1231.73999,11.66,103.166451
10/08/2016,18495.66016,5204.580078,1223.27002,12.05,102.398483
11/08/2016,18613.51953,5228.399902,1229.119995,11.68,102.3321
12/08/2016,18576.4707,5232.890137,1229.819946,11.55,102.569138
15/08/2016,18636.05078,5262.02002,1241.859985,11.81,103.801735
16/08/2016,18552.01953,5227.109863,1231.130005,12.64,103.706894
17/08/2016,18573.93945,5228.660156,1227.680054,12.19,103.555183
18/08/2016,18597.69922,5240.149902,1236.849976,11.43,103.422455
19/08/2016,18552.57031,5238.379883,1236.77002,11.34,103.687935
22/08/2016,18529.41992,5244.600098,1239.73999,12.27,102.882019
23/08/2016,18547.30078,5260.080078,1248.579956,12.38,103.204376
24/08/2016,18481.48047,5217.689941,1237.25,13.45,102.42691
25/08/2016,18448.41016,5212.200195,1240,13.63,101.990784
26/08/2016,18395.40039,5218.919922,1238.030029,13.65,101.393433
29/08/2016,18502.99023,5232.330078,1244.939941,12.94,101.279671
30/08/2016,18454.30078,5222.990234,1246.030029,13.12,100.502213
31/08/2016,18400.88086,5213.220215,1239.910034,13.42,100.597023
